Player,Season,Team,Games,MinutesPerGame,PointsPerGame,AssistsPerGame,ReboundsPerGame,StealsPerGame,FieldGoalPct,ThreePointPct,FreeThrowPct,TrueShootingPct
Stephen Curry,2015-16,GSW,79,34.2,30.1,6.7,5.4,2.1,50.4,45.4,90.8,66.9
James Harden,2018-19,HOU,78,36.8,36.1,7.5,6.6,2.0,44.2,36.8,87.9,61.6
LeBron James,2012-13,MIA,76,37.9,26.8,8.0,7.3,1.7,56.5,40.6,75.3,64.0
Nikola Jokic,2022-23,DEN,69,33.7,24.5,9.8,11.8,1.3,63.2,38.3,82.2,70.1
Kevin Durant,2013-14,OKC,81,38.5,32.0,5.5,7.4,1.3,50.3,39.1,87.3,63.5
Kobe Bryant,2005-06,LAL,80,41.0,35.4,4.5,5.3,1.8,45.0,34.7,85.0,55.9
Luka Doncic,2023-24,DAL,70,37.5,33.9,9.8,9.2,1.4,48.7,38.2,78.6,61.7
Giannis Antetokounmpo,2022-23,MIL,63,32.1,31.1,5.7,11.8,0.8,55.3,27.5,64.5,60.5
Damian Lillard,2019-20,POR,66,37.5,30.0,8.0,4.3,1.1,46.3,40.1,88.8,62.7
Russell Westbrook,2016-17,OKC,81,34.6,31.6,10.4,10.7,1.6,42.5,34.3,84.5,55.4
Joel Embiid,2022-23,PHI,66,34.6,33.1,4.2,10.2,1.0,54.8,33.0,85.7,65.5
Steve Nash,2006-07,PHX,76,35.3,18.6,11.6,3.5,0.8,53.2,45.5,89.9,65.4
Dirk Nowitzki,2006-07,DAL,78,36.2,24.6,3.4,8.9,0.7,50.2,41.6,90.4,60.5
Trae Young,2021-22,ATL,76,34.9,28.4,9.7,3.7,0.9,46.0,38.2,90.4,60.3
Shaquille O'Neal,2004-05,MIA,73,34.1,22.9,1.9,10.4,0.5,60.1,0.0,46.1,58.3
